	Matrix	Chromosome	Distance	Contacts	Number_bins	Scale_factor
0	MJ21_1.1000_balanced.cool	all	0	126.21895883554399	1326	1.0
1	MJ21_1.1000_balanced.cool	all	1000	28.286528642177814	1296	1.0
2	MJ21_1.1000_balanced.cool	all	2000	0.018688843896218464	1266	1.0
3	MJ21_1.1000_balanced.cool	all	3000	0.012138042090686528	1236	1.0
4	MJ21_1.1000_balanced.cool	all	4000	0.008429272129353727	1206	1.0
5	MJ21_1.1000_balanced.cool	all	5000	0.005612267972826497	1176	1.0
6	MJ21_1.1000_balanced.cool	all	6000	0.004523573505327045	1146	1.0
7	MJ21_1.1000_balanced.cool	all	7000	0.0049244194208840535	1116	1.0
8	MJ21_1.1000_balanced.cool	all	8000	0.00394088107786402	1086	1.0
9	MJ21_1.1000_balanced.cool	all	9000	0.003316801375432767	1056	1.0
10	MJ21_1.1000_balanced.cool	all	10000	0.0031234435218842867	1026	1.0
11	MJ21_1.1000_balanced.cool	all	11000	0.0029198726508156457	996	1.0
12	MJ21_1.1000_balanced.cool	all	12000	0.0027226587184954547	966	1.0
13	MJ21_1.1000_balanced.cool	all	13000	0.0031636316324078198	936	1.0
14	MJ21_1.1000_balanced.cool	all	14000	0.0021831892324741795	906	1.0
15	MJ21_1.1000_balanced.cool	all	15000	0.0023546781765765748	876	1.0
16	MJ21_1.1000_balanced.cool	all	16000	0.0019318362379915006	846	1.0
17	MJ21_1.1000_balanced.cool	all	17000	0.002554463151213369	816	1.0
18	MJ21_1.1000_balanced.cool	all	18000	0.0022662285577017983	786	1.0
19	MJ21_1.1000_balanced.cool	all	19000	0.0021890703602362835	756	1.0
20	MJ21_1.1000_balanced.cool	all	20000	0.001656879398568628	726	1.0
21	MJ21_1.1000_balanced.cool	all	21000	0.001902020094211771	696	1.0
22	MJ21_1.1000_balanced.cool	all	22000	0.002302149821232739	666	1.0
23	MJ21_1.1000_balanced.cool	all	23000	0.0016758338341957095	636	1.0
24	MJ21_1.1000_balanced.cool	all	24000	0.001513645732716895	606	1.0
25	MJ21_1.1000_balanced.cool	all	25000	0.0016498271928955285	576	1.0
26	MJ21_1.1000_balanced.cool	all	26000	0.0017240174096608094	546	1.0
27	MJ21_1.1000_balanced.cool	all	27000	0.0018066863746036693	516	1.0
28	MJ21_1.1000_balanced.cool	all	28000	0.0017046257874824872	486	1.0
29	MJ21_1.1000_balanced.cool	all	29000	0.001615214080340716	456	1.0
30	MJ21_1.1000_balanced.cool	all	30000	0.002129401077863229	426	1.0
31	MJ21_1.1000_balanced.cool	all	31000	0.0013825857503650825	396	1.0
32	MJ21_1.1000_balanced.cool	all	32000	0.0019474195128497602	367	1.0
33	MJ21_1.1000_balanced.cool	all	33000	0.0010243685616249678	340	1.0
34	MJ21_1.1000_balanced.cool	all	34000	0.001887895214710921	313	1.0
35	MJ21_1.1000_balanced.cool	all	35000	0.0017533632605954005	292	1.0
36	MJ21_1.1000_balanced.cool	all	36000	0.0020712195140050594	272	1.0
