	Matrix	Chromosome	Distance	Contacts	Number_bins	Scale_factor
0	MJ21_3.1000_balanced.cool	all	0	93.0644843897934	1326	1.0
1	MJ21_3.1000_balanced.cool	all	1000	23.52770717629591	1296	1.0
2	MJ21_3.1000_balanced.cool	all	2000	0.0127821193699452	1266	1.0
3	MJ21_3.1000_balanced.cool	all	3000	0.006833555326442714	1236	1.0
4	MJ21_3.1000_balanced.cool	all	4000	0.004856516212485657	1206	1.0
5	MJ21_3.1000_balanced.cool	all	5000	0.004205498131033427	1176	1.0
6	MJ21_3.1000_balanced.cool	all	6000	0.004332687713299773	1146	1.0
7	MJ21_3.1000_balanced.cool	all	7000	0.003091373323624316	1116	1.0
8	MJ21_3.1000_balanced.cool	all	8000	0.0030366042468446194	1086	1.0
9	MJ21_3.1000_balanced.cool	all	9000	0.003083636415156571	1056	1.0
10	MJ21_3.1000_balanced.cool	all	10000	0.0031735327195887533	1026	1.0
11	MJ21_3.1000_balanced.cool	all	11000	0.002163566634545386	996	1.0
12	MJ21_3.1000_balanced.cool	all	12000	0.0018563708850435677	966	1.0
13	MJ21_3.1000_balanced.cool	all	13000	0.0021290761644498003	936	1.0
14	MJ21_3.1000_balanced.cool	all	14000	0.001974060295873955	906	1.0
15	MJ21_3.1000_balanced.cool	all	15000	0.0018086438805754786	876	1.0
16	MJ21_3.1000_balanced.cool	all	16000	0.0016575499025140883	846	1.0
17	MJ21_3.1000_balanced.cool	all	17000	0.0011909959416991534	816	1.0
18	MJ21_3.1000_balanced.cool	all	18000	0.0018697549888522975	786	1.0
19	MJ21_3.1000_balanced.cool	all	19000	0.0012928824566971803	756	1.0
20	MJ21_3.1000_balanced.cool	all	20000	0.0012649996877503093	726	1.0
21	MJ21_3.1000_balanced.cool	all	21000	0.0019184115467122973	696	1.0
22	MJ21_3.1000_balanced.cool	all	22000	0.0016685743637790918	666	1.0
23	MJ21_3.1000_balanced.cool	all	23000	0.0013158222644752133	636	1.0
24	MJ21_3.1000_balanced.cool	all	24000	0.00191807078898529	606	1.0
25	MJ21_3.1000_balanced.cool	all	25000	0.0012008303383327116	576	1.0
26	MJ21_3.1000_balanced.cool	all	26000	0.0009866488607306247	546	1.0
27	MJ21_3.1000_balanced.cool	all	27000	0.001755728761858154	516	1.0
28	MJ21_3.1000_balanced.cool	all	28000	0.0012603254027345812	486	1.0
29	MJ21_3.1000_balanced.cool	all	29000	0.0013885833852468469	456	1.0
30	MJ21_3.1000_balanced.cool	all	30000	0.0011359443868583553	426	1.0
